6,0,1
2,0,1
7,0,1
4,0,1
3,0,1
4,0,1
4,0,1
4,0,1
3,0,1
2,0,1
5,1,1
4,1,2
8,1,1
3,1,2
4,1,1
4,1,1
4,1,2
5,1,1
5,1,1
6,2,2
8,2,1
5,2,1
6,2,1
8,2,1
1,2,1
8,2,1
3,2,1
6,2,1
2,2,2
8,3,1
5,3,1
3,3,1
4,3,1
4,3,2
2,3,1
4,3,1
3,3,2
3,3,1
9,4,1
9,4,1
8,1,2
8,3,2
5,3,2
7,4,1
4,4,2
1,2,2
3,2,2
2,2,3
2,5,2
5,2,2
8,5,1
5,3,2
4,2,2
4,4,2
4,4,3
5,4,2
9,5,1
8,5,1
6,6,1
5,5,2
8,2,3
3,5,3
4,5,2
2,3,2
6,4,2
8,4,2
3,3,3
3,2,3
5,7,1
7,7,2
5,2,3
3,4,2
4,6,3
5,3,3
5,6,2
3,4,2
6,5,2
6,6,3
2,3,3
3,2,4
5,8,1
4,3,3
7,4,2
4,5,2
4,4,3
4,3,4
8,6,2
9,5,2
8,7,2
5,4,3
8,3,4
4,4,3
6,3,3
1,5,3
3,3,4
9,4,2
2,5,4
9,1,3
9,6,2
8,6,3
5,3,4
5,4,3
4,2,4
8,4,3
3,4,4
6,3,3
6,10,1
8,6,2
4,4,4
3,3,5
4,5,3
5,11,1
2,5,3
4,3,4
4,3,5
5,6,3
3,4,3
5,5,2
5,2,5
3,5,3
7,5,2
8,3,5
6,3,4
7,4,3
6,2,4
9,3,3
8,7,2
7,10,2
6,7,2
5,4,4
3,2,6
4,2,4
4,3,5
4,2,6
1,4,4
3,3,5
2,4,5
9,4,4
2,6,4
4,11,3
5,6,2
4,6,3
4,3,5
5,7,3
3,14,1
3,5,5
3,3,4
6,7,4
7,8,3
5,3,6
5,5,4
3,3,4
8,6,3
6,3,5
4,2,7
6,3,5
6,5,2
4,5,5
8,4,6
4,3,5
5,5,2
2,5,4
4,3,6
8,8,3
8,6,4
3,3,6
9,4,4
8,7,4
5,4,5
4,8,4
5,3,3
5,10,4
4,3,6
4,2,8
5,6,4
3,3,6
2,4,6
9,4,5
9,8,3
2,4,5
8,7,3
3,5,7
6,3,6
7,6,4
1,5,5
3,4,5
8,18,1
5,7,3
5,4,7
5,4,5
3,19,1
4,2,7
5,5,4
3,3,7
6,4,6
9,3,5
8,7,3
7,7,3
7,8,3
8,4,7
3,2,8
4,4,6
4,6,4
4,4,7
4,6,4
4,3,9
3,2,6
6,6,5
9,3,6
5,2,8
3,6,5
4,5,6
8,6,4
5,21,1
5,4,4
5,4,5
3,2,8
7,7,4
6,9,3
2,6,5
6,4,7
4,3,8
4,2,10
8,6,5
3,5,7
6,3,7
6,7,3
8,6,5
5,2,9
5,6,6
8,3,8
4,3,7
4,6,5
7,5,5
3,3,7
2,6,7
8,5,2
2,6,6
5,5,4
8,6,4
3,4,9
4,4,8
2,24,1
1,6,6
5,5,5
3,2,8
9,5,6
9,4,7
9,7,4
4,4,7
4,5,5
5,4,5
4,3,9
4,3,11
3,11,2
3,4,9
6,3,8
5,3,10
5,7,6
8,5,5
8,3,9
6,26,1
6,4,8
4,6,5
5,5,6
3,2,9
3,3,8
7,5,5
3,6,6
3,3,10
3,8,2
4,4,8
4,3,9
4,2,10
4,2,12
8,5,6
2,4,8
5,4,5
5,2,11
5,7,2
2,6,6
5,11,5
6,2,9
7,5,6
3,3,10
3,2,10
9,4,7
6,8,6
9,4,8
4,4,8
5,6,7
8,3,10
4,6,6
4,2,10
4,2,13
1,5,7
6,29,1
9,5,5
6,8,4
5,2,12
4,30,1
4,5,6
5,5,6
3,2,11
3,4,9
6,5,9
6,8,4
2,7,7
8,8,6
5,5,7
3,4,11
6,3,10
7,3,7
4,5,6
4,4,11
4,2,14
8,15,4
3,5,7
5,3,8
8,3,11
4,5,9
4,3,11
5,6,7
8,32,1
8,5,7
5,8,6
9,4,8
5,3,13
7,13,4
5,5,3
3,2,12
3,6,3
6,2,11
1,4,8
3,5,11
2,6,9
8,10,3
7,14,4
5,6,6
7,7,6
8,10,5
4,5,9
8,8,6
5,4,7
4,2,12
3,4,12
3,4,10
9,6,9
8,3,12
2,7,7
4,1,13
7,4,8
4,4,15
8,3,8
3,10,3
6,35,1
6,5,10
2,5,8
5,3,14
5,4,9
3,3,13
5,20,3
4,6,7
4,5,7
2,12,2
9,4,9
8,3,4
5,6,8
2,37,1
3,4,4
4,5,10
4,8,7
5,3,8
6,4,12
4,2,16
3,4,12
6,7,5
6,9,7
7,4,7
4,4,10
5,2,10
8,3,13
6,12,2
4,7,12
1,5,9
3,4,13
6,3,11
9,4,10
8,8,7
5,2,9
5,11,6
4,4,14
7,4,9
4,39,1
4,2,17
5,7,7
3,5,11
5,4,15
3,8,8
3,4,14
3,3,5
4,3,11
6,3,13
5,8,8
3,3,13
6,11,2
2,7,10
6,11,5
7,8,5
5,3,11
8,3,14
5,8,4
4,2,15
8,41,1
4,5,8
4,2,18
3,3,14
7,4,8
5,2,16
5,5,9
4,12,2
5,3,10
6,2,14
4,4,13
8,7,9
9,6,10
6,5,6
7,9,5
3,43,1
4,5,11
8,9,7
2,6,2
4,7,8
4,2,16
4,2,19
3,4,12
6,5,12
2,8,9
5,10,7
5,2,17
8,3,15
3,4,6
5,2,11
4,2,14
8,12,2
6,9,2
3,4,14
8,11,6
1,45,1
3,5,15
2,10,8
6,3,15
7,6,10
4,2,20
8,3,10
8,26,4
8,9,5
7,4,9
8,7,8
5,5,12
5,10,4
4,3,17
5,6,9
1,8,10
5,7,8
3,5,15
6,3,13
6,9,8
5,3,18
4,4,12
8,3,16
3,3,7
4,7,12
5,47,1
4,3,15
2,11,3
3,4,13
9,9,11
2,4,10
5,9,7
4,2,18
7,3,11
4,9,2
4,3,21
3,4,15
6,2,14
9,6,11
5,2,19
5,7,10
6,49,1
5,3,13
4,12,8
5,5,12
6,4,16
4,8,9
3,3,16
6,7,7
5,6,8
7,9,6
8,3,17
6,12,3
3,5,16
3,3,8
4,3,16
4,2,22
8,6,3
3,2,16
7,8,6
5,2,20
9,51,1
4,4,13
4,8,9
5,2,13
6,2,17
4,3,19
2,4,4
1,5,11
7,6,10
6,11,6
4,5,13
2,9,3
8,2,18
3,2,9
4,2,17
3,17,4
3,3,17
3,5,14
9,23,6
5,2,21
1,8,2
3,3,17
4,2,20
7,5,12
4,3,23
5,53,1
6,5,15
6,4,8
3,14,9
8,9,7
5,13,5
6,3,18
8,13,2
5,8,10
3,4,17
3,2,18
2,14,11
8,9,6
5,55,1
8,12,8
3,3,10
4,4,14
4,3,18
4,2,24
1,4,12
6,15,3
3,3,15
9,7,12
6,9,9
8,10,9
5,3,22
5,7,11
3,13,2
4,4,14
5,7,14
8,4,19
4,5,10
6,2,19
10,57,1
4,15,3
5,3,6
4,4,21
4,9,3
4,2,19
4,2,25
8,12,11
3,3,19
6,4,16
5,2,23
3,5,18
3,3,11
5,7,14
6,2,20
8,8,4
5,12,9
6,14,3
3,4,18
6,5,9
9,11,12
7,8,7
7,9,7
8,3,20
5,12,2
7,6,13
8,5,3
4,2,20
4,2,26
2,8,5
2,12,11
4,4,15
2,8,4
5,4,15
4,11,9
6,2,21
6,60,1
4,11,10
3,3,20
6,3,17
5,11,9
3,5,3
6,11,4
3,3,19
5,15,5
5,3,15
4,2,21
4,2,27
1,6,13
3,6,16
5,4,24
6,13,2
3,62,1
1,9,3
3,4,12
4,5,22
5,8,11
3,2,21
6,2,18
2,8,12
7,11,11
5,7,12
8,4,21
9,12,2
4,7,11
5,15,8
6,3,22
4,6,4
4,2,28
3,5,19
6,12,7
5,2,25
4,4,16
5,4,16
8,64,1
5,3,16
4,3,22
1,3,14
6,9,4
8,10,7
8,10,9
3,4,20
4,10,15
7,6,14
3,13,5
3,3,22
5,12,2
3,4,17
6,3,19
6,7,10
5,2,26
3,12,10
5,11,2
4,66,1
8,3,22
3,4,13
4,3,29
6,8,4
3,3,20
9,11,13
6,11,10
5,4,13
3,6,4
5,10,7
5,8,3
6,4,23
5,5,12
2,8,6
8,10,12
3,2,23
8,3,10
5,4,17
4,3,16
2,23,9
5,4,17
7,3,15
8,9,4
4,8,11
5,10,10
5,68,1
6,7,3
3,4,21
3,3,14
6,9,2
4,6,5
8,11,5
1,5,15
3,4,6
3,3,21
2,7,13
5,9,10
7,11,8
4,6,17
6,70,1
8,6,2
4,6,23
4,4,30
5,3,13
8,39,5
6,5,20
2,11,12
7,12,8
7,8,12
10,14,2
4,14,4
8,5,23
3,2,15
4,9,23
7,3,16
3,4,24
8,16,10
5,6,27
3,6,11
3,5,5
4,6,2
9,72,1
2,4,10
5,4,18
8,5,13
9,6,14
5,3,11
9,10,3
6,6,24
6,4,3
4,5,12
4,3,24
4,3,31
2,6,7
3,4,7
2,4,14
6,74,1
5,2,28
8,20,8
4,11,12
7,3,17
5,4,14
8,5,6
1,5,16
3,5,22
5,9,3
5,8,14
3,3,12
3,3,6
3,13,2
8,7,11
1,13,4
3,6,22
4,6,6
5,7,11
8,11,8
6,9,11
4,4,3
3,5,16
6,3,4
8,76,1
4,3,32
2,3,8
3,3,8
6,12,5
3,11,18
2,6,13
5,4,12
5,3,29
3,2,7
4,4,25
8,5,14
5,9,2
6,11,5
6,7,21
9,5,15
8,7,24
5,11,8
4,18,10
7,78,1
2,6,11
4,7,24
7,4,18
4,5,13
4,2,33
2,5,15
3,4,13
4,9,18
9,7,2
3,4,23
4,11,17
5,12,4
6,6,25
5,5,15
8,5,7
1,5,17
7,9,13
5,5,15
6,10,2
6,4,5
4,5,7
4,3,26
2,4,9
8,3,15
6,3,22
9,3,16
6,7,2
5,4,30
10,81,1
3,4,8
4,5,4
4,7,13
7,3,19
3,5,9
5,7,4
3,5,19
2,5,14
