Name,RP,IP,Popularity,Win Rate,Ban Rate,Meta,Released,Difficulty
"Sejuani","975","6300","5.61%","52.07%","0.08%","Jungler","1/17/2012",4
"Shaco","790","3150","3.63%","50.11%","0.94%","Jungler","10/10/2009",9
"Shen","790","3150","12.75%","46.87%","23.83%","Top Lane","3/24/2010",3
"Shyvana","975","6300","3.95%","50.87%","0.75%","Jungler","11/1/2011",4
"Singed","585","1350","4.85%","51.37%","1.02%","Top Lane","4/18/2009",5
"Sion","585","1350","1.42%","49.21%","0.04%","Middle Lane","2/21/2009",4
"Sivir","260","450","1.91%","48.76%","0.01%","AD Carry","2/21/2009",5
"Skarner","880","4800","1.38%","49.19%","0.03%","Jungler","8/9/2011",5
"Sona","790","3150","24.82%","53.01%","0.32%","Support","9/20/2010",1
"Soraka","260","450","5.54%","49.76%","0.06%","Support","2/21/2009",3
"Swain","880","4800","3.15%","51.47%","0.06%","Middle Lane","10/5/2010",5
"Syndra","975","6300","2.63%","44.54%","0.1%","Middle Lane","9/13/2012",10
"Talon","880","4800","3.33%","50.63%","0.08%","Top Lane","8/24/2011",6
"Taric","585","1350","8.04%","50.85%","0.04%","Support","8/19/2009",3
"Teemo","585","1350","8.19%","52.42%","0.4%","Top Lane","2/21/2009",4
"Thresh","975","6300","26.32%","48.12%","34.9%","Support","1/23/2013",7
"Tristana","585","1350","12.38%","48.29%","0.03%","AD Carry","2/21/2009",3
"Trundle","880","4800","1.67%","47.3%","0.03%","Jungler","12/1/2010",5
"Tryndamere","585","1350","9.17%","52.19%","2.99%","Top Lane","5/1/2009",6
"Twisted Fate","585","1350","3.47%","46.52%","1.51%","Middle Lane","2/21/2009",9
"Twitch","790","3150","6.07%","50.08%","0.15%","AD Carry","5/1/2009",8
"Udyr","585","1350","7.12%","50.26%","0.16%","Jungler","12/2/2009",5
"Urgot","790","3150","0.47%","43.32%","0.04%","AD Carry","8/24/2010",8
"Varus","975","6300","14.01%","49.76%","0.09%","AD Carry","5/8/2012",6
"Vayne","880","4800","25.59%","48.81%","23.88%","AD Carry","5/10/2011",7
"Veigar","585","1350","2.7%","46.26%","0.09%","Middle Lane","7/24/2009",6
"Vi","975","6300","16.17%","49.9%","14.71%","Jungler","12/19/2012",5
"Viktor","975","6300","2.3%","49.98%","0.08%","Middle Lane","12/29/2011",9
"Vladimir","880","4800","6.19%","47.28%","0.27%","Middle Lane","7/27/2010",2
"Volibear","975","6300","6.75%","50%","0.02%","Jungler","11/29/2011",2
"Warwick","260","450","6.25%","51.45%","0.04%","Jungler","2/21/2009",2
"Wukong","880","4800","6.3%","53.01%","0.05%","Top Lane","7/26/2011",3
"Xerath","880","4800","1.63%","51.03%","0.18%","Middle Lane","10/5/2011",6
"Xin Zhao","790","3150","9.55%","50%","0.04%","Jungler","7/13/2010",6
"Yorick","880","4800","2.63%","49.71%","0.11%","Top Lane","6/22/2011",3
"Zac","975","6300","6.92%","47.73%","5.54%","Jungler","3/29/2013",6
"Zed","975","6300","13.27%","48.16%","75.07%","Top Lane","11/13/2012",9
"Ziggs","975","6300","1.83%","48.06%","0.1%","Middle Lane","2/1/2012",6
"Zilean","585","1350","1.21%","49.98%","0.07%","Middle Lane","4/18/2009",4
"Zyra","975","6300","13.74%","52.03%","1.19%","Middle Lane","7/24/2012",7
