2010-09-27,"Annie","Heimerdinger","Fiddlesticks","Kog'Maw","Rammus","Shen","Sivir","Taric","Warwick","Xin Zhao"
2010-10-04,"Alistar","Ashe","Cho'Gath","Evelynn","Ezreal","Karthus","Morgana","Nasus","Ryze","Sona"
2010-10-11,"Anivia","Corki","Katarina","Kayle","Nunu","Pantheon","Singed","Tristana","Veigar","Zilean"
2010-10-18,"Annie","Blitzcrank","Garen","Heimerdinger","Jax","Shen","Sivir","Soraka","Swain","Teemo"
2010-10-26,"Ashe","Cho'Gath","Galio","Janna","Taric","Twisted Fate","Udyr","Veigar","Warwick","Zilean"
2010-11-01,"Amumu","Dr. Mundo","Fiddlesticks","Gangplank","Gragas","Kayle","Lux","Morgana","Sivir","Tristana"
2010-11-08,"Akali","Annie","Ashe","Heimerdinger","Kog'Maw","Poppy","Shen","Rammus","Ryze","Taric"
2010-11-15,"Fiddlesticks","Garen","LeBlanc","Morgana","Nidalee","Nunu","Sion","Sivir","Teemo","Zilean"
2010-11-22,"Annie","Blitzcrank","Corki","Heimerdinger","Mordekaiser","Shen","Soraka","Tristana","Tryndamere","Vladimir"
2010-11-30,"Ashe","Cho'Gath","Gragas","Irelia","Ryze","Shaco","Sivir","Sona","Veigar","Zilean"
2010-12-07,"Ezreal","Karthus","Kennen","Malphite","Master Yi","Morgana","Singed","Taric","Tristana","Urgot"
2010-12-13,"Ashe","Heimerdinger","Janna","Kassadin","Malzahar","Nunu","Shen","Soraka","Teemo","Trundle"
2010-12-20,"Anivia","Annie","Blitzcrank","Gangplank","Jax","Kayle","Miss Fortune","Morgana","Sion","Sivir"
2010-12-28,"Alistar","Ashe","Cassiopeia","Galio","Heimerdinger","Kennen","Olaf","Tristana","Veigar","Zilean"
2011-01-03,"Fiddlesticks","Katarina","Morgana","Ryze","Sivir","Taric","Gragas","Kog'Maw","Shen","Xin Zhao"
2011-01-10,"Annie","Ashe","Cho'Gath","Heimerdinger","Twisted Fate","Nidalee","Poppy","Garen","Urgot","Swain"
2011-01-18,"Amumu","Blitzcrank","Caitlyn","Dr. Mundo","Kayle","Morgana","Tristana","Veigar","Vladimir","Warwick"
2011-01-24,"Akali","Ashe","Fiddlesticks","Heimerdinger","Miss Fortune","Nunu","Pantheon","Rammus","Ryze","Soraka"
2011-01-31,"Lux","Master Yi","Renekton","Shen","Singed","Sivir","Sona","Tristana","Veigar","Zilean"
2011-02-07,"Annie","Ashe","Corki","Galio","Gangplank","LeBlanc","Morgana","Sion","Taric","Udyr"
2011-02-14,"Blitzcrank","Ezreal","Fiddlesticks","Heimerdinger","Karma","Kayle","Malzahar","Nunu","Sivir","Tryndamere"
2011-02-22,"Cho'Gath","Gragas","Irelia","Kassadin","Mordekaiser","Ryze","Soraka","Teemo","Tristana","Veigar"
2011-02-28,"Annie","Ashe","Janna","Malphite","Maokai","Shen","Sivir","Taric","Trundle","Xin Zhao"
2011-03-07,"Alistar","Gangplank","Garen","Jax","Kennen","Miss Fortune","Morgana","Singed","Swain","Tristana"
2011-03-14,"Amumu","Cho'Gath","Fiddlesticks","Jarvan IV","Kassadin","Katarina","Kayle","Nasus","Teemo","Urgot"
2011-03-21,"Caitlyn","Galio","Kog'Maw","Lux","Master Yi","Mordekaiser","Nunu","Ryze","Shen","Taric"
2011-03-29,"Ashe","Blitzcrank","Heimerdinger","Karma","Nocturne","Poppy","Rammus","Singed","Twitch","Veigar"
2011-04-05,"Annie","Cassiopeia","Cho'Gath","Corki","Nidalee","Olaf","Shen","Tristana","Warwick","Zilean"
2011-04-14,"Alistar","Anivia","Fiddlesticks","Janna","Lee Sin","Malphite","Maokai","Miss Fortune","Nasus","Sivir"
2011-04-19,"Amumu","Ashe","Caitlyn","Garen","Heimerdinger","LeBlanc","Master Yi","Mordekaiser","Morgana","Rammus"
2011-04-26,"Brand","Cho'Gath","Irelia","Karthus","Kog'Maw","Nunu","Singed","Sion","Sivir","Taric"
2011-05-03,"Ezreal","Galio","Gangplank","Kassadin","Katarina","Malphite","Miss Fortune","Renekton","Ryze","Sona"
2011-05-10,"Ashe","Caitlyn","Garen","Jax","Malzahar","Maokai","Mordekaiser","Rumble","Shen","Soraka"
2011-05-17,"Alistar","Heimerdinger","Janna","Jarvan IV","Miss Fortune","Rammus","Sivir","Veigar","Warwick","Xin Zhao"
2011-05-24,"Amumu","Annie","Ashe","Cho'Gath","Dr. Mundo","Kennen","Master Yi","Nasus","Vayne","Zilean"
2011-05-31,"Blitzcrank","Kog'Maw","Lee Sin","Malphite","Morgana","Nunu","Ryze","Singed","Swain","Teemo"
2011-06-07,"Alistar","Caitlyn","Corki","Galio","Gangplank","Garen","Heimerdinger","Janna","Nocturne","Veigar"
2011-06-14,"Brand","Cho'Gath","Irelia","Maokai","Miss Fortune","Mordekaiser","Orianna","Sion","Sivir","Soraka"
2011-06-21,"Annie","Katarina","LeBlanc","Malphite","Rammus","Tristana","Urgot","Veigar","Warwick","Zilean"
2011-06-27,"Akali","Ashe","Ezreal","Kassadin","Kayle","Nasus","Shen","Singed","Udyr","Vladimir"
